env_idx,task_type,variation,react_fm_score,react_score,reflexion_score,react_fm_minus_react,react_fm_minus_reflexion,reflexion_minus_react
1,boil,21,78,77,43,1,35,-34
2,boil,22,37,43,43,-6,-6,0
3,boil,23,42,-100,-100,142,142,0
4,boil,24,100,100,75,0,25,-25
5,boil,25,100,100,75,0,25,-25
6,boil,26,100,100,75,0,25,-25
7,boil,27,77,78,75,-1,2,-3
8,boil,28,75,73,-100,2,175,-173
9,boil,29,0,100,100,-100,-100,0
10,melt,21,100,3,77,97,23,74
11,melt,22,100,70,75,30,25,5
12,melt,23,-100,-100,-100,0,0,0
13,melt,24,43,-100,42,143,1,142
14,melt,25,43,45,70,-2,-27,25
15,melt,26,100,100,0,0,100,-100
16,melt,27,100,100,100,0,0,0
17,melt,28,100,0,0,100,100,0
18,melt,29,100,100,100,0,0,0
19,use-thermometer,405,100,100,100,0,0,0
20,use-thermometer,406,6,100,100,-94,-94,0
21,use-thermometer,407,100,3,100,97,0,97
22,use-thermometer,408,100,100,100,0,0,0
23,use-thermometer,409,100,100,100,0,0,0
24,use-thermometer,410,100,92,3,8,97,-89
25,use-thermometer,411,100,100,100,0,0,0
26,use-thermometer,412,100,100,100,0,0,0
27,use-thermometer,413,100,100,100,0,0,0
28,use-thermometer,414,100,100,100,0,0,0
29,power-component,15,77,77,100,0,-23,23
30,power-component,16,100,83,100,17,0,17
31,power-component,17,83,100,63,-17,20,-37
32,power-component,18,100,83,83,17,17,0
33,power-component,19,100,70,63,30,37,-7
34,test-conductivity,675,74,100,10,-26,64,-90
35,test-conductivity,676,-100,64,-100,-164,0,-164
36,test-conductivity,677,-100,-100,60,0,-160,160
37,test-conductivity,678,83,100,55,-17,28,-45
38,test-conductivity,679,83,60,100,23,-17,40
39,test-conductivity,680,64,60,60,4,4,0
40,test-conductivity,681,79,60,100,19,-21,40
41,test-conductivity,682,-100,-100,-100,0,0,0
42,test-conductivity,683,100,60,60,40,40,0
43,test-conductivity,684,60,64,100,-4,-40,36
44,test-conductivity-of-unknown-substances,450,74,100,100,-26,-26,0
45,test-conductivity-of-unknown-substances,451,74,-100,74,174,0,174
46,test-conductivity-of-unknown-substances,452,83,74,33,9,50,-41
47,test-conductivity-of-unknown-substances,453,83,14,60,69,23,46
48,test-conductivity-of-unknown-substances,454,74,100,100,-26,-26,0
49,test-conductivity-of-unknown-substances,455,74,64,64,10,10,0
50,test-conductivity-of-unknown-substances,456,60,83,74,-23,-14,-9
51,test-conductivity-of-unknown-substances,457,60,64,69,-4,-9,5
52,test-conductivity-of-unknown-substances,458,60,-100,74,160,-14,174
53,test-conductivity-of-unknown-substances,459,64,74,60,-10,4,-14
54,grow-plant,93,36,63,63,-27,-27,0
55,grow-plant,94,61,8,33,53,28,25
56,grow-plant,95,100,33,37,67,63,4
57,grow-plant,96,62,62,63,0,-1,1
58,grow-plant,97,100,30,100,70,0,70
59,grow-plant,98,27,31,61,-4,-34,30
