env_idx,task_type,variation,pass0_score,final_score,delta,pass0_success,final_success,source
1,boil,21,37,43,6,0,0,pass1
2,boil,22,42,43,1,0,0,pass1
3,boil,23,42,-100,-142,0,0,pass1
4,boil,24,70,75,5,0,0,pass1
5,boil,25,77,75,-2,0,0,pass1
6,boil,26,0,75,75,0,0,pass1
7,boil,27,77,75,-2,0,0,pass1
8,boil,28,70,-100,-170,0,0,pass1
9,boil,29,100,100,0,1,1,pass0
10,melt,21,70,77,7,0,0,pass1
11,melt,22,75,75,0,0,0,pass1
12,melt,23,-100,-100,0,0,0,pass1
13,melt,24,37,42,5,0,0,pass1
14,melt,25,70,70,0,0,0,pass1
15,melt,26,-100,0,100,0,0,pass1
16,melt,27,3,100,97,0,1,pass1
17,melt,28,0,0,0,0,0,pass1
18,melt,29,100,100,0,1,1,pass0
19,use-thermometer,405,100,100,0,1,1,pass0
20,use-thermometer,406,100,100,0,1,1,pass0
21,use-thermometer,407,92,100,8,0,1,pass1
22,use-thermometer,408,100,100,0,1,1,pass0
23,use-thermometer,409,100,100,0,1,1,pass0
24,use-thermometer,410,85,3,-82,0,0,pass1
25,use-thermometer,411,100,100,0,1,1,pass0
26,use-thermometer,412,3,100,97,0,1,pass1
27,use-thermometer,413,100,100,0,1,1,pass0
28,use-thermometer,414,3,100,97,0,1,pass1
29,power-component,15,100,100,0,1,1,pass0
30,power-component,16,83,100,17,0,1,pass1
31,power-component,17,83,63,-20,0,0,pass1
32,power-component,18,83,83,0,0,0,pass1
33,power-component,19,63,63,0,0,0,pass1
34,test-conductivity,675,64,10,-54,0,0,pass1
35,test-conductivity,676,60,-100,-160,0,0,pass1
36,test-conductivity,677,74,60,-14,0,0,pass1
37,test-conductivity,678,55,55,0,0,0,pass1
38,test-conductivity,679,100,100,0,1,1,pass0
39,test-conductivity,680,60,60,0,0,0,pass1
40,test-conductivity,681,100,100,0,1,1,pass0
41,test-conductivity,682,-100,-100,0,0,0,pass1
42,test-conductivity,683,64,60,-4,0,0,pass1
43,test-conductivity,684,100,100,0,1,1,pass0
44,test-conductivity-of-unknown-substances,450,100,100,0,1,1,pass0
45,test-conductivity-of-unknown-substances,451,-100,74,174,0,0,pass1
46,test-conductivity-of-unknown-substances,452,64,33,-31,0,0,pass1
47,test-conductivity-of-unknown-substances,453,10,60,50,0,0,pass1
48,test-conductivity-of-unknown-substances,454,74,100,26,0,1,pass1
49,test-conductivity-of-unknown-substances,455,60,64,4,0,0,pass1
50,test-conductivity-of-unknown-substances,456,64,74,10,0,0,pass1
51,test-conductivity-of-unknown-substances,457,10,69,59,0,0,pass1
52,test-conductivity-of-unknown-substances,458,69,74,5,0,0,pass1
53,test-conductivity-of-unknown-substances,459,29,60,31,0,0,pass1
54,grow-plant,93,33,63,30,0,0,pass1
55,grow-plant,94,5,33,28,0,0,pass1
56,grow-plant,95,29,37,8,0,0,pass1
57,grow-plant,96,62,63,1,0,0,pass1
58,grow-plant,97,1,100,99,0,1,pass1
59,grow-plant,98,30,61,31,0,0,pass1
60,grow-plant,99,100,100,0,1,1,pass0
61,grow-plant,100,4,100,96,0,1,pass1
62,grow-plant,101,62,61,-1,0,0,pass1
63,grow-plant,102,37,34,-3,0,0,pass1
64,chemistry-mix,24,8,33,25,0,0,pass1
65,chemistry-mix,25,36,36,0,0,0,pass1
66,chemistry-mix,26,100,100,0,1,1,pass0
67,chemistry-mix,27,33,25,-8,0,0,pass1
68,chemistry-mix,28,33,100,67,0,1,pass1
69,chemistry-mix,29,36,36,0,0,0,pass1
70,chemistry-mix,30,42,33,-9,0,0,pass1
71,chemistry-mix,31,25,33,8,0,0,pass1
72,lifespan-longest-lived-then-shortest-lived,93,100,100,0,1,1,pass0
73,lifespan-longest-lived-then-shortest-lived,94,-100,-100,0,0,0,pass1
74,lifespan-longest-lived-then-shortest-lived,95,-100,-100,0,0,0,pass1
75,lifespan-longest-lived-then-shortest-lived,96,100,100,0,1,1,pass0
76,lifespan-longest-lived-then-shortest-lived,97,100,100,0,1,1,pass0
77,lifespan-longest-lived-then-shortest-lived,98,0,-100,-100,0,0,pass1
78,lifespan-longest-lived-then-shortest-lived,99,-100,-100,0,0,0,pass1
79,lifespan-longest-lived-then-shortest-lived,100,100,100,0,1,1,pass0
80,lifespan-longest-lived-then-shortest-lived,101,0,0,0,0,0,pass1
81,lifespan-longest-lived-then-shortest-lived,102,-100,-100,0,0,0,pass1
82,inclined-plane-friction-unnamed-surfaces,120,100,100,0,1,1,pass0
83,inclined-plane-friction-unnamed-surfaces,121,10,5,-5,0,0,pass1
84,inclined-plane-friction-unnamed-surfaces,122,5,100,95,0,1,pass1
85,inclined-plane-friction-unnamed-surfaces,123,30,20,-10,0,0,pass1
86,inclined-plane-friction-unnamed-surfaces,124,-100,100,200,0,1,pass1
87,inclined-plane-friction-unnamed-surfaces,125,50,100,50,0,1,pass1
88,inclined-plane-friction-unnamed-surfaces,126,-100,5,105,0,0,pass1
89,inclined-plane-friction-unnamed-surfaces,127,10,10,0,0,0,pass1
90,inclined-plane-friction-unnamed-surfaces,128,40,5,-35,0,0,pass1
91,inclined-plane-friction-unnamed-surfaces,129,100,100,0,1,1,pass0
92,mendelian-genetics-known-plant,90,100,100,0,1,1,pass0
93,mendelian-genetics-known-plant,91,100,100,0,1,1,pass0
94,mendelian-genetics-known-plant,92,1,11,10,0,0,pass1
95,mendelian-genetics-known-plant,93,100,100,0,1,1,pass0
96,mendelian-genetics-known-plant,94,17,19,2,0,0,pass1
97,mendelian-genetics-known-plant,95,100,100,0,1,1,pass0
98,mendelian-genetics-known-plant,96,11,100,89,0,1,pass1
99,mendelian-genetics-known-plant,97,100,100,0,1,1,pass0
100,mendelian-genetics-known-plant,98,100,100,0,1,1,pass0
101,mendelian-genetics-known-plant,99,100,100,0,1,1,pass0
102,mendelian-genetics-unknown-plant,360,1,11,10,0,0,pass1
103,mendelian-genetics-unknown-plant,361,19,19,0,0,0,pass1
104,mendelian-genetics-unknown-plant,362,13,18,5,0,0,pass1
105,mendelian-genetics-unknown-plant,363,11,13,2,0,0,pass1
106,mendelian-genetics-unknown-plant,364,15,19,4,0,0,pass1
107,mendelian-genetics-unknown-plant,365,11,15,4,0,0,pass1
108,mendelian-genetics-unknown-plant,366,19,17,-2,0,0,pass1
109,mendelian-genetics-unknown-plant,367,11,16,5,0,0,pass1
110,mendelian-genetics-unknown-plant,368,13,1,-12,0,0,pass1
111,mendelian-genetics-unknown-plant,369,18,15,-3,0,0,pass1
